pid,cpu_percent,memory_percent,name,anomaly
5040,0.0,0.0395847084782076,ipfsvc.exe,1
5052,0.0,0.166708311304658,AdskAccessServiceHost.exe,1
5100,0.0,0.111674131478164,svchost.exe,1
5144,0.0,0.0531364494876493,svchost.exe,1
5188,0.0,0.2545634940427081,OneApp.IGCC.WinService.exe,1
5196,0.0,0.0855195146287029,svchost.exe,1
5204,0.0,0.2538822575108153,IntelAudioService.exe,1
5232,0.0,0.0711162279543951,svchost.exe,1
5280,0.0,0.0422609948535013,jhi_service.exe,1
5308,0.0,0.1499693565210028,MpDefenderCoreService.exe,1
5340,0.0,0.0430882106422284,ipf_uf.exe,1
5392,0.0,0.1364906051399783,expressvpnd.exe,1
5428,0.0,0.1821091229006662,SafeExamBrowser.Service.exe,1
5560,0.0,0.0588053106280441,svchost.exe,1
5568,0.0,0.0484164535166767,RtkBtManServ.exe,1
5576,0.0,0.1820604631483881,SafeExamBrowser.Service.exe,1
5584,0.0,0.0979520813357491,RtkAudUService64.exe,1
5596,0.0,0.0776609646357951,conhost.exe,1
5612,0.0,0.0612139683658084,SECOMN64.exe,1
5620,0.0,0.0569075802891995,svchost.exe,1
5680,0.0,0.0947648675615357,ETDCtrl.exe,1
5696,0.0,0.0370544013597481,svchost.exe,1
5704,1.7,1.9246878416066675,MsMpEng.exe,-1
5748,0.0,0.0953731144650115,WMIRegistrationService.exe,1
5796,0.0,0.1345685449249946,svchost.exe,1
5812,0.0,0.1249825737262154,svchost.exe,1
5960,0.0,0.4500297189437038,XtuService.exe,1
6000,0.0,0.0372733702449994,dasHost.exe,1
6284,0.3,1.383056138999502,chrome.exe,-1
6772,0.0,0.1461252360910356,remoting_host.exe,1
6824,0.0,0.0646688107775512,SECOCL64.exe,1
6836,0.0,0.0425529533671697,svchost.exe,1
6852,0.0,0.0607273708430277,conhost.exe,1
6868,0.0,1.2694842771824932,TextInputHost.exe,-1
6876,0.0,0.1146423763671261,SecurityHealthService.exe,1
6884,0.0,0.0172498821825747,SystemSettings.exe,1
7472,0.0,0.0488787211633184,svchost.exe,1
7632,0.0,0.0412634699318009,conhost.exe,1
7716,0.0,0.041360789436357,ipf_helper.exe,1
7852,0.0,0.0940349712773647,svchost.exe,1
7888,0.0,0.1791895377639822,gamingservices.exe,1
7924,0.0,0.0361541959426038,gamingservicesnet.exe,1
8052,0.0,0.2172657939215697,sihost.exe,1
8096,0.0,0.1409429724734214,taskhostw.exe,1
8196,0.0,0.0689508689780211,RuntimeBroker.exe,1
8420,0.0,0.057272528431285,svchost.exe,1
8548,0.0,0.047151299957447,svchost.exe,1
8620,0.0,0.0294634800043696,svchost.exe,1
8700,0.0,0.0739141637103839,svchost.exe,1
8932,0.0,0.1211384532962481,svchost.exe,1
8944,0.0,0.4264783988411193,powershell.exe,1
8968,0.0,0.1924006605074774,GenuineService.exe,1
9040,0.0,0.0691941677394114,RuntimeBroker.exe,1
9244,0.0,0.2220344496448202,svchost.exe,1
9416,0.0,0.0175175108201041,msedgewebview2.exe,1
9440,0.0,0.1775594360626669,svchost.exe,1
9460,0.9,0.1387532836209084,AdskIdentityManager.exe,-1
9484,0.0,0.1752480978294587,ctfmon.exe,1
9528,0.0,0.0723570516374858,svchost.exe,1
9720,0.0,0.0553504682163013,chrome.exe,1
9780,0.0,0.056566962023253,svchost.exe,1
9852,0.0,0.218920225499024,SystemSettingsBroker.exe,1
9900,0.0,0.0748630288798062,svchost.exe,1
10124,0.0,3.689066129333242,Code.exe,-1
10384,0.0,0.3409345543362773,Widgets.exe,1
10424,0.0,0.2092126049195496,RuntimeBroker.exe,1
10476,0.0,0.1452493605500303,audiodg.exe,1
10488,0.0,0.3191836450679813,RuntimeBroker.exe,1
10496,0.3,0.9599839228178472,chrome.exe,-1
10548,1.4,1.302645898359996,Code.exe,-1
10564,0.0,0.0378572872723362,svchost.exe,1
10592,0.0,0.0429665612615332,pet.exe,1
10652,0.0,0.7266117508922374,AdskAccessCore.exe,1
10680,0.0,0.1235227811578734,chrome.exe,1
10784,0.0,0.0335265693195882,msedgewebview2.exe,1
10792,0.0,0.1147640257478213,svchost.exe,1
10820,0.0,0.110919905317854,svchost.exe,1
10884,0.0,0.1440815264953567,WidgetService.exe,1
10892,0.0,0.0926481683374398,RtkAudUService64.exe,1
11140,0.0,0.0648877796628025,conhost.exe,1
11292,0.0,0.0412877998079399,conhost.exe,1
11340,0.0,0.6866134345196663,Code.exe,1
11348,0.0,0.2962649017450117,Code.exe,1
11360,0.0,0.0091966931805546,BraveCrashHandler.exe,1
11432,0.0,0.1529376014099649,MoUsoCoreWorker.exe,1
11492,0.0,0.0701673627849728,SearchFilterHost.exe,1
11544,0.6,0.440030139850561,python.exe,-1
11672,0.0,0.10875454634148,dllhost.exe,1
11908,0.0,0.0504844929884946,msedgewebview2.exe,1
11960,0.0,0.0113133924046506,backgroundTaskHost.exe,1
12028,0.0,0.0085641164009398,BraveCrashHandler64.exe,1
12076,0.0,0.7771449036330101,Code.exe,1
12336,0.0,0.2043952894440209,HPSystemEventUtilityHost.exe,1
12432,0.0,0.7474381248672501,WindowsTerminal.exe,1
12488,0.0,0.0602894330725251,WmiPrvSE.exe,1
12520,9.0,0.9499843437247044,SearchIndexer.exe,-1
12612,0.0,0.0590486093894344,SearchFilterHost.exe,1
12672,0.0,0.1992373557025458,Code.exe,1
12736,1.2,0.8000879768321187,Code.exe,-1
12832,0.0,0.0908964172554294,svchost.exe,1
13092,0.0,0.0662989124788664,svchost.exe,1
13212,0.0,0.0668584996300642,svchost.exe,1
13308,0.0,0.1082436189425603,RuntimeBroker.exe,1
13320,0.0,0.0864927096742643,svchost.exe,1
13348,0.3,0.0505574826169117,dllhost.exe,1
13552,8.1,1.462128236451361,Code.exe,-1
13608,0.0,0.5165719301839606,AdskAccessUIHost.exe,1
13624,0.0,0.056591291899392,msedgewebview2.exe,1
13744,0.0,0.3780619453244425,AdskAccessUIHost.exe,1
13792,0.0,0.2723243036242027,AdskAccessUIHost.exe,1
13940,0.3,0.1363932856354221,Ditto.exe,1
14020,0.0,0.5753042511835876,AdskAccessUIHost.exe,1
14156,0.0,0.1076840317913625,Ditto.exe,1
14232,0.0,0.4444581773078652,CrossDeviceService.exe,1
14244,0.0,0.0149142140732275,msedgewebview2.exe,1
14420,0.0,0.1733260376144751,chrome.exe,1
14444,0.0,0.0992658946472569,OpenConsole.exe,1
14544,0.0,0.6839614780205115,ShellExperienceHost.exe,1
14576,0.0,0.3952631677547393,HPSystemEventUtilityBackground.exe,1
14724,0.0,1.299799302851729,chrome.exe,-1
14912,0.0,0.1915977745948893,RuntimeBroker.exe,1
14976,0.0,0.010875454634148,backgroundTaskHost.exe,1
15144,0.0,0.0465917128062492,svchost.exe,1
15252,2.3,0.1823524216620565,FileCoAuth.exe,-1
15260,0.0,0.0832325062716338,svchost.exe,1
15288,0.0,0.4221963406406493,powershell.exe,1
15292,0.0,0.0440127459355117,cmd.exe,1
15312,0.0,0.0587079911234879,svchost.exe,1
15480,0.0,0.042090685720528,conhost.exe,1
15836,0.0,0.4135835644874315,powershell.exe,1
15896,0.0,0.0408498620374373,conhost.exe,1
15900,0.0,0.1704794421062082,ApplicationFrameHost.exe,1
16124,0.0,0.0685615909597965,svchost.exe,1
16164,0.0,0.455284972189735,powershell.exe,1
