ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-01-01 00:00:00,61.45576865999999,-27.517377917723298,150.10361370310758,61.45576865999999,61.45576865999999,0.0,0.0,0.0,0.0,0.0,0.0,61.45576865999999
2025-01-01 00:00:05,59.3316059415126,-32.999066314279226,144.3410282538334,59.3316059415126,59.3316059415126,0.0,0.0,0.0,0.0,0.0,0.0,59.3316059415126
2025-01-01 00:00:10,57.2074432230252,-32.59220240081741,141.84832371235794,57.2074432230252,57.2074432230252,0.0,0.0,0.0,0.0,0.0,0.0,57.2074432230252
2025-01-01 00:00:15,55.08328050453781,-39.239321640382435,143.6876931506353,55.08328050453781,55.08328050453781,0.0,0.0,0.0,0.0,0.0,0.0,55.08328050453781
2025-01-01 00:00:20,52.95911778605041,-40.66593457817252,147.00053595368422,52.95911778605041,52.95911778605041,0.0,0.0,0.0,0.0,0.0,0.0,52.95911778605041
2025-01-01 00:00:25,50.834955067563016,-33.92075732826188,134.41432343588085,50.834955067563016,50.834955067563016,0.0,0.0,0.0,0.0,0.0,0.0,50.834955067563016
2025-01-01 00:00:30,48.710792349075625,-37.47809508094285,135.74722196948852,48.710792349075625,48.710792349075625,0.0,0.0,0.0,0.0,0.0,0.0,48.710792349075625
2025-01-01 00:00:35,46.58662963058823,-38.74615667263407,134.9527719520972,46.58662963058823,46.58662963058823,0.0,0.0,0.0,0.0,0.0,0.0,46.58662963058823
2025-01-01 00:00:40,44.46246691210084,-49.62536108489087,141.74466950793192,44.46246691210084,44.46246691210084,0.0,0.0,0.0,0.0,0.0,0.0,44.46246691210084
2025-01-01 00:00:45,42.3383200665663,-46.323139155612026,127.36589529759895,42.3383200665663,42.3383200665663,0.0,0.0,0.0,0.0,0.0,0.0,42.3383200665663
2025-01-01 00:00:50,40.21417322103175,-46.107720050035574,127.85259643687579,40.21417322103175,40.21417322103175,0.0,0.0,0.0,0.0,0.0,0.0,40.21417322103175
2025-01-01 00:00:55,38.090026375497224,-46.597125632666305,126.08406007363756,38.090026375497224,38.090026375497224,0.0,0.0,0.0,0.0,0.0,0.0,38.090026375497224
2025-01-01 00:01:00,35.96587952996268,-52.97769670094711,125.94116347768686,35.96587952996268,35.96587952996268,0.0,0.0,0.0,0.0,0.0,0.0,35.96587952996268
2025-01-01 00:01:05,33.841732684428145,-59.36185201383821,120.80159917870942,33.841732684428145,33.841732684428145,0.0,0.0,0.0,0.0,0.0,0.0,33.841732684428145
2025-01-01 00:01:10,31.71758583889361,-59.14873163558442,121.13472423362734,31.71758583889361,31.71758583889361,0.0,0.0,0.0,0.0,0.0,0.0,31.71758583889361
2025-01-01 00:01:15,29.593438993359076,-60.33060422159366,113.84847368724823,29.593438993359076,29.593438993359076,0.0,0.0,0.0,0.0,0.0,0.0,29.593438993359076
2025-01-01 00:01:20,27.992426699925378,-60.61018071654977,111.59862743854731,27.992426699925378,27.992426699925378,0.0,0.0,0.0,0.0,0.0,0.0,27.992426699925378
2025-01-01 00:01:25,26.391414406491684,-61.568978901196765,116.74876805042042,26.391414406491684,26.391414406491684,0.0,0.0,0.0,0.0,0.0,0.0,26.391414406491684
2025-01-01 00:01:30,24.790402113057986,-61.083882640394556,124.27891970530588,24.790402113057986,24.790402113057986,0.0,0.0,0.0,0.0,0.0,0.0,24.790402113057986
2025-01-01 00:01:35,23.189389819624292,-66.07895371000723,111.73451819202548,23.189389819624292,23.189389819624292,0.0,0.0,0.0,0.0,0.0,0.0,23.189389819624292
2025-01-01 00:01:40,21.588377526190587,-63.664012599891635,110.13326631746753,21.588377526190587,21.588377526190587,0.0,0.0,0.0,0.0,0.0,0.0,21.588377526190587
2025-01-01 00:01:45,19.98736523275689,-74.01996294274679,109.87392605277176,19.98736523275689,19.98736523275689,0.0,0.0,0.0,0.0,0.0,0.0,19.98736523275689
2025-01-01 00:01:50,18.386352939323196,-67.16336103633832,115.03396516099029,18.386352939323196,18.386352939323196,0.0,0.0,0.0,0.0,0.0,0.0,18.386352939323196
2025-01-01 00:01:55,16.785340645889498,-69.98680391616035,104.24036211555284,16.785340645889498,16.785340645889498,0.0,0.0,0.0,0.0,0.0,0.0,16.785340645889498
