pid,cpu_percent,memory_percent,name
5308,0.0,0.14996935652100288,MpDefenderCoreService.exe
5340,0.0,0.04308821064222844,ipf_uf.exe
5392,0.0,0.1364906051399783,expressvpnd.exe
5428,0.0,0.18210912290066622,SafeExamBrowser.Service.exe
5560,0.0,0.05880531062804412,svchost.exe
5568,0.0,0.04841645351667679,RtkBtManServ.exe
5576,0.0,0.18206046314838817,SafeExamBrowser.Service.exe
5584,0.0,0.09795208133574913,RtkAudUService64.exe
5596,0.0,0.07766096463579514,conhost.exe
5612,0.0,0.061213968365808454,SECOMN64.exe
5620,0.0,0.056907580289199504,svchost.exe
5680,0.0,0.09476486756153574,ETDCtrl.exe
5696,0.0,0.037054401359748114,svchost.exe
5704,1.7,1.9246878416066673,MsMpEng.exe
5748,0.0,0.09537311446501157,WMIRegistrationService.exe
5796,0.0,0.13456854492499465,svchost.exe
5812,0.0,0.1249825737262154,svchost.exe
5960,0.0,0.45002971894370386,XtuService.exe
6000,0.0,0.037273370244999424,dasHost.exe
6284,0.3,1.383056138999502,chrome.exe
6772,0.0,0.1461252360910356,remoting_host.exe
6824,0.0,0.06466881077755121,SECOCL64.exe
6836,0.0,0.0425529533671697,svchost.exe
6852,0.0,0.060727370843027775,conhost.exe
6868,0.0,1.2694842771824932,TextInputHost.exe
6876,0.0,0.11464237636712615,SecurityHealthService.exe
6884,0.0,0.017249882182574797,SystemSettings.exe
7472,0.0,0.04887872116331843,svchost.exe
7632,0.0,0.041263469931800925,conhost.exe
7716,0.0,0.04136078943635706,ipf_helper.exe
7852,0.0,0.09403497127736472,svchost.exe
7888,0.0,0.1791895377639822,gamingservices.exe
7924,0.0,0.03615419594260388,gamingservicesnet.exe
8052,0.0,0.21726579392156972,sihost.exe
8096,0.0,0.14094297247342144,taskhostw.exe
8196,0.0,0.06895086897802112,RuntimeBroker.exe
8420,0.0,0.05727252843128501,svchost.exe
8548,0.0,0.047151299957447046,svchost.exe
8620,0.0,0.029463480004369644,svchost.exe
8700,0.0,0.07391416371038396,svchost.exe
8932,0.0,0.1211384532962481,svchost.exe
8944,0.0,0.4264783988411193,powershell.exe
8968,0.0,0.19240066050747742,GenuineService.exe
9040,0.0,0.06919416773941146,RuntimeBroker.exe
9244,0.0,0.22203444964482028,svchost.exe
9416,0.0,0.017517510820104165,msedgewebview2.exe
9440,0.0,0.17755943606266694,svchost.exe
9460,0.9,0.1387532836209084,AdskIdentityManager.exe
9484,0.0,0.17524809782945874,ctfmon.exe
9528,0.0,0.07235705163748582,svchost.exe
9720,0.0,0.05535046821630136,chrome.exe
9780,0.0,0.05656696202325304,svchost.exe
9852,0.0,0.218920225499024,SystemSettingsBroker.exe
9900,0.0,0.07486302887980627,svchost.exe
10124,0.0,3.689066129333242,Code.exe
10384,0.0,0.34093455433627734,Widgets.exe
10424,0.0,0.20921260491954963,RuntimeBroker.exe
10476,0.0,0.14524936055003038,audiodg.exe
10488,0.0,0.31918364506798136,RuntimeBroker.exe
10496,0.3,0.9599839228178473,chrome.exe
10548,1.4,1.302645898359996,Code.exe
10564,0.0,0.037857287272336226,svchost.exe
10592,0.0,0.042966561261533275,pet.exe
10652,0.0,0.7266117508922374,AdskAccessCore.exe
10680,0.0,0.12352278115787341,chrome.exe
10784,0.0,0.03352656931958825,msedgewebview2.exe
10792,0.0,0.11476402574782131,svchost.exe
10820,0.0,0.110919905317854,svchost.exe
10884,0.0,0.14408152649535677,WidgetService.exe
10892,0.0,0.09264816833743982,RtkAudUService64.exe
11140,0.0,0.06488777966280251,conhost.exe
11292,0.0,0.04128779980793996,conhost.exe
11340,0.0,0.6866134345196663,Code.exe
11348,0.0,0.29626490174501174,Code.exe
11360,0.0,0.009196693180554688,BraveCrashHandler.exe
11432,0.0,0.15293760140996498,MoUsoCoreWorker.exe
11492,0.0,0.0701673627849728,SearchFilterHost.exe
11544,0.6,0.440030139850561,python.exe
11672,0.0,0.10875454634148003,dllhost.exe
11908,0.0,0.050484492988494646,msedgewebview2.exe
11960,0.0,0.011313392404650608,backgroundTaskHost.exe
12028,0.0,0.008564116400939814,BraveCrashHandler64.exe
12076,0.0,0.7771449036330101,Code.exe
12336,0.0,0.20439528944402097,HPSystemEventUtilityHost.exe
12432,0.0,0.7474381248672501,WindowsTerminal.exe
12488,0.0,0.06028943307252518,WmiPrvSE.exe
12520,9.0,0.9499843437247045,SearchIndexer.exe
12612,0.0,0.05904860938943445,SearchFilterHost.exe
12672,0.0,0.19923735570254586,Code.exe
12736,1.2,0.8000879768321187,Code.exe
12832,0.0,0.0908964172554294,svchost.exe
13092,0.0,0.06629891247886646,svchost.exe
13212,0.0,0.06685849963006422,svchost.exe
13308,0.0,0.10824361894256032,RuntimeBroker.exe
13320,0.0,0.08649270967426433,svchost.exe
13348,0.3,0.050557482616911745,dllhost.exe
13552,8.1,1.462128236451361,Code.exe
13608,0.0,0.5165719301839606,AdskAccessUIHost.exe
13624,0.0,0.05659129189939207,msedgewebview2.exe
13744,0.0,0.37806194532444254,AdskAccessUIHost.exe
13792,0.0,0.2723243036242027,AdskAccessUIHost.exe
13940,0.3,0.13639328563542216,Ditto.exe
14020,0.0,0.5753042511835876,AdskAccessUIHost.exe
14156,0.0,0.10768403179136254,Ditto.exe
14232,0.0,0.4444581773078652,CrossDeviceService.exe
14244,0.0,0.014914214073227574,msedgewebview2.exe
14420,0.0,0.17332603761447513,chrome.exe
14444,0.0,0.09926589464725694,OpenConsole.exe
14544,0.0,0.6839614780205115,ShellExperienceHost.exe
14576,0.0,0.3952631677547393,HPSystemEventUtilityBackground.exe
14724,0.0,1.299799302851729,chrome.exe
14912,0.0,0.1915977745948893,RuntimeBroker.exe
